Date,Chamber,CO2,Round,Plant,Plant_ID
12/14/21,61,0,1,SA,SA.5
12/14/21,63,1,1,BW,BW.3
12/14/21,63,1,1,SA,SA.5
12/15/21,61,0,1,SA,SA.1
12/15/21,61,0,1,SA,SA.4
12/15/21,61,0,1,SA,SA.9
12/15/21,63,1,1,BW,BW.6
12/16/21,61,0,1,SA,SA.3
12/16/21,61,0,1,SA,SA.8
12/17/21,60,1,1,BW,BW.2
12/17/21,60,1,1,BW,BW.3
12/17/21,60,1,1,BW,BW.11
12/17/21,60,1,1,BW,BW.12
12/17/21,60,1,1,SA,SA.3
12/17/21,60,1,1,SA,SA.5
12/17/21,60,1,1,SA,SA.6
12/17/21,61,0,1,SA,SA.7
12/17/21,61,0,1,SA,SA.10
12/17/21,62,0,1,BW,BW.7
12/17/21,62,0,1,SA,SA.1
12/18/21,60,1,1,SA,SA.8
12/18/21,61,0,1,BW,BW.2
12/18/21,61,0,1,SA,SA.2
12/18/21,61,0,1,SA,SA.6
12/18/21,62,0,1,BW,BW.3
12/18/21,63,1,1,BW,BW.4
12/19/21,60,1,1,SA,SA.1
12/19/21,60,1,1,SA,SA.10
12/19/21,61,0,1,BW,BW.11
12/19/21,62,0,1,BW,BW.9
12/19/21,62,0,1,BW,BW.10
12/19/21,63,1,1,SA,SA.11
12/20/21,60,1,1,BW,BW.8
12/20/21,60,1,1,SA,SA.2
12/20/21,60,1,1,SA,SA.7
12/20/21,60,1,1,SA,SA.11
12/20/21,60,1,1,SA,SA.12
12/20/21,62,0,1,BW,BW.1
12/20/21,62,0,1,SA,SA.5
12/20/21,62,0,1,SA,SA.7
12/20/21,63,1,1,SA,SA.9
12/20/21,63,1,1,SA,SA.12
12/21/21,60,1,1,BW,BW.9
12/21/21,60,1,1,SA,SA.4
12/21/21,60,1,1,SA,SA.9
12/21/21,62,0,1,B,B.3
12/21/21,62,0,1,SA,SA.6
12/21/21,63,1,1,SA,SA.2
12/21/21,63,1,1,SA,SA.4
12/22/21,60,1,1,BW,BW.10
12/22/21,62,0,1,BW,BW.5
12/22/21,62,0,1,SA,SA.10
12/22/21,63,1,1,SA,SA.8
12/23/21,60,1,1,BW,BW.4
12/23/21,61,0,1,BW,BW.1
12/23/21,61,0,1,BW,BW.7
12/23/21,62,0,1,SA,SA.3
12/23/21,63,1,1,BW,BW.2
12/23/21,63,1,1,BW,BW.10
12/23/21,63,1,1,SA,SA.3
12/23/21,63,1,1,SA,SA.6
12/25/21,60,1,1,BW,BW.5
12/25/21,61,0,1,SA,SA.11
12/25/21,62,0,1,BW,BW.2
12/25/21,62,0,1,BW,BW.4
12/25/21,62,0,1,BW,BW.8
12/25/21,62,0,1,SA,SA.4
12/25/21,62,0,1,SA,SA.12
12/25/21,63,1,1,SA,SA.7
1/4/22,62,0,1,BW,BW.12
1/5/22,61,0,1,BW,BW.5
1/9/22,62,0,1,N,N.10
1/9/22,63,1,1,N,N.4
1/10/22,60,1,1,B,B.7
1/12/22,63,1,1,LP,LP.8
1/14/22,63,1,1,LP,LP.10
1/14/22,63,1,1,LP,LP.12
1/14/22,63,1,1,N,N.12
1/15/22,61,0,1,N,N.10
1/16/22,60,1,1,LP,LP.4
1/16/22,63,1,1,LP,LP.4
1/16/22,63,1,1,LP,LP.7
1/17/22,61,0,1,LP,LP.9
1/19/22,61,0,1,C,C.11
1/19/22,61,0,1,N,N.1
1/19/22,62,0,1,B,B.7
1/19/22,62,0,1,C,C.9
1/19/22,63,1,1,LP,LP.1
1/20/22,61,0,1,C,C.9
1/20/22,63,1,1,LP,LP.5
1/20/22,63,1,1,N,N.5
1/22/22,61,0,1,LP,LP.7
1/22/22,61,0,1,N,N.11
1/23/22,60,1,1,LP,LP.5
1/23/22,60,1,1,LP,LP.9
1/23/22,62,0,1,C,C.3
1/23/22,63,1,1,LP,LP.3
1/24/22,60,1,1,B,B.5
1/24/22,61,0,1,C,C.3
1/24/22,61,0,1,LP,LP.1
1/24/22,63,1,1,B,B.5
1/24/22,63,1,1,C,C.11
1/25/22,60,1,1,C,C.5
1/25/22,61,0,1,N,N.3
1/25/22,62,0,1,N,N.1
1/25/22,63,1,1,C,C.5
1/26/22,62,0,1,B,B.9
1/26/22,62,0,1,C,C.11
1/26/22,63,1,1,C,C.1
2/3/22,60,1,1,C,C.7
2/3/22,60,1,1,C,C.9
2/3/22,60,1,1,C,C.11
2/3/22,60,1,1,N,N.7
2/3/22,60,1,1,N,N.11
2/3/22,61,0,1,B,B.7
2/3/22,61,0,1,B,B.11
2/3/22,61,0,1,C,C.7
2/3/22,62,0,1,N,N.5
2/3/22,62,0,1,N,N.11
2/3/22,63,1,1,B,B.3
2/3/22,63,1,1,N,N.7
2/3/22,63,1,1,N,N.11
2/6/22,60,1,1,B,B.1
2/6/22,60,1,1,B,B.3
2/6/22,60,1,1,C,C.3
2/6/22,62,0,1,LP,LP.3
2/6/22,63,1,1,C,C.7
2/8/22,61,0,1,B,B.3
2/8/22,62,0,1,C,C.1
2/8/22,63,1,1,LP,LP.11
2/9/22,60,1,1,C,C.1
2/9/22,60,1,1,SF,SF11
2/9/22,62,0,1,PP,PP11
2/10/22,61,0,1,B,B.9
2/11/22,63,1,1,SF,SF.5
2/12/22,60,1,1,B,B.9
2/12/22,60,1,1,SF,SF.7
2/12/22,62,0,1,SF,SF.7
2/14/22,61,0,1,SF,SF.5
2/14/22,63,1,1,B,B.11
2/14/22,63,1,1,LP,LP.9
2/16/22,61,0,1,PP,PP3
2/16/22,62,0,1,SF,SF11
2/17/22,63,1,2,SA,SA18
2/17/22,63,1,2,SA,SA22
2/18/22,60,1,2,SA,SA.13
2/18/22,60,1,1,SF,SF.9
2/18/22,61,0,1,PP,PP.5
2/18/22,62,0,2,SA,SA.14
2/18/22,63,1,1,SF,SF.9
2/19/22,60,1,1,PP,PP.11
2/19/22,60,1,1,SF,SF.1
2/19/22,63,1,2,SA,SA.13
2/21/22,60,1,1,B,B.11
2/21/22,60,1,2,SA,SA.14
2/21/22,60,1,2,SA,SA.16
2/21/22,60,1,2,SA,SA.19
2/21/22,61,0,1,PP,PP.11
2/21/22,62,0,1,LP,LP.9
2/21/22,62,0,2,SA,SA.20
2/21/22,63,1,2,BW,BW.15
2/21/22,63,1,2,BW,BW.16
2/21/22,63,1,2,BW,BW.18
2/21/22,63,1,2,SA,SA.15
2/21/22,63,1,2,SA,SA.16
2/21/22,63,1,2,SA,SA.17
2/21/22,63,1,2,SA,SA.20
2/21/22,63,1,2,SA,SA.21
2/21/22,63,1,2,SA,SA.23
2/22/22,60,1,2,SA,SA.15
2/22/22,60,1,2,SA,SA.18
2/22/22,60,1,2,SA,SA.21
2/22/22,60,1,2,SA,SA.23
2/22/22,60,1,1,SF,SF.5
2/22/22,62,0,2,SA,SA.17
2/22/22,63,1,2,SA,SA.14
2/22/22,63,1,2,SA,SA.19
2/23/22,60,1,2,SA,SA24
2/23/22,61,0,1,SF,SF1
2/23/22,62,0,2,BW,BW.20
2/23/22,62,0,2,SA,SA13
2/23/22,62,0,2,SA,SA21
2/23/22,62,0,1,SF,SF9
2/23/22,63,1,1,SF,SF1
2/23/22,63,1,1,SF,SF11
2/24/22,60,1,2,SA,SA.17
2/24/22,63,1,2,BW,BW.14
2/24/22,63,1,1,PP,PP.4
2/24/22,63,1,2,SA,SA.24
2/25/22,60,1,2,BW,BW.18
2/25/22,61,0,1,B,B.5
2/25/22,61,0,2,BW,BW.14
2/25/22,61,0,2,BW,BW.19
2/25/22,61,0,2,BW,BW.22
2/25/22,62,0,2,BW,BW.16
2/28/22,60,1,2,BW,BW.13
2/28/22,60,1,2,BW,BW.20
2/28/22,60,1,2,BW,BW.21
2/28/22,60,1,2,BW,BW.22
2/28/22,60,1,2,SA,SA.20
2/28/22,62,0,1,SF,SF.1
2/28/22,63,1,2,BW,BW.17
2/28/22,63,1,2,BW,BW.20
2/28/22,63,1,1,SF,SF.3
3/1/22,60,1,2,BW,BW.14
3/1/22,61,0,2,BW,BW.17
3/1/22,61,0,2,BW,BW.18
3/1/22,61,0,2,BW,BW.21
3/1/22,62,0,2,BW,BW.24
3/1/22,63,1,2,BW,BW.13
3/1/22,63,1,2,BW,BW.21
3/1/22,63,1,2,BW,BW.23
3/1/22,63,1,2,BW,BW.24
3/2/22,61,0,2,BW,BW.13
3/2/22,61,0,2,BW,BW.24
3/2/22,62,0,2,B,B.20
3/2/22,62,0,2,BW,BW.18
3/2/22,62,0,1,PP,PP.12
3/2/22,63,1,2,BW,BW.19
3/3/22,60,1,2,BW,BW.17
3/3/22,60,1,2,BW,BW.19
3/3/22,61,0,2,BW,BW.16
3/3/22,62,0,2,BW,BW.17
3/4/22,60,1,1,PP,PP.7
3/4/22,61,0,2,SA,SA.15
3/4/22,61,0,2,SA,SA.18
3/4/22,61,0,2,SA,SA.20
3/4/22,61,0,1,SF,SF.7
3/5/22,61,0,2,SA,SA.14
3/5/22,62,0,2,BW,BW.21
3/7/22,60,1,2,BW,BW.15
3/7/22,61,0,2,BW,BW.15
3/7/22,62,0,2,BW,BW.22
3/7/22,62,0,2,BW,BW.23
3/7/22,62,0,1,SF,SF.3
3/7/22,62,0,1,SF,SF.5
3/8/22,61,0,2,B,B.16
3/8/22,62,0,2,BW,BW.14
3/8/22,62,0,1,SF,SF12
3/9/22,62,0,1,PP,PP7
3/10/22,60,1,2,BW,BW.16
3/10/22,60,1,2,BW,BW.23
3/10/22,62,0,2,N,N.21
3/11/22,60,1,1,SF,SF3
3/11/22,61,0,2,SA,SA19
3/12/22,63,1,2,LP,LP.18
3/12/22,63,1,1,PP,PP2
3/13/22,61,0,2,LP,LP.19
3/13/22,62,0,2,N,N.18
3/14/22,60,1,1,N,N.1
3/14/22,61,0,2,N,N.15
3/14/22,63,1,2,LP,LP.16
3/15/22,61,0,2,LP,LP.18
3/15/22,61,0,2,LP,LP.23
3/15/22,63,1,2,LP,LP.14
3/17/22,60,1,2,N,N.21
3/17/22,61,0,2,LP,LP.21
3/18/22,60,1,2,C,C.13
3/18/22,60,1,1,PP,PP9
3/19/22,61,0,2,LP,LP.14
3/19/22,63,1,2,LP,LP.21
3/20/22,60,1,2,B,B.14
3/20/22,62,0,2,LP,LP.24
3/24/22,60,1,2,B,B.13
3/24/22,60,1,2,N,N.13
3/24/22,62,0,2,B,B.23
3/24/22,62,0,2,N,N.16
3/24/22,63,1,2,B,B.16
3/25/22,61,0,2,LP,LP.24
3/25/22,61,0,2,N,N24
3/25/22,61,0,2,SF,SF19
3/25/22,63,1,2,C,C.14
3/25/22,63,1,2,C,C.19
3/26/22,60,1,2,B,B.22
3/26/22,60,1,2,C,C.21
3/26/22,60,1,2,LP,LP.20
3/26/22,62,0,2,C,C.22
3/26/22,63,1,2,B,B.20
3/27/22,60,1,2,C,C.18
3/27/22,60,1,2,LP,LP.24
3/27/22,61,0,2,LP,LP.22
3/28/22,60,1,2,N,N.22
3/28/22,61,0,2,N,N.20
3/28/22,62,0,2,LP,LP.18
3/28/22,62,0,2,LP,LP.21
3/28/22,62,0,2,LP,LP.22
3/29/22,60,1,2,LP,LP.14
3/29/22,60,1,2,LP,LP.17
