Date,Chamber,CO2,Round,Plant,Plant_ID,Leaf_no,Flower_no,Height_cm,Notes
1/26/22,61,0,1,B,B.1,17,0,17,
4/15/22,60,1,2,B,B.14,,12,,
3/2/22,60,1,1,B,B.3,24,7,80.7,
2/23/22,60,1,1,B,B.3,29,9,78.1,
4/7/22,61,0,2,B,B.17,25,16,73.5,
2/16/22,60,1,1,B,B.3,27,8,71.9,
4/7/22,61,0,2,B,B.13,22,7,70,
3/2/22,61,0,1,B,B.11,13,3,66.1,
12/1/21,63,1,1,B,B.1,3,0,,
2/23/22,60,1,1,B,B.5,18,4,65.4,
12/1/21,63,1,1,B,B.2,2,0,,
3/2/22,60,1,1,B,B.9,31,4,65.1,
12/1/21,63,1,1,B,B.3,3,0,,
12/1/21,63,1,1,B,B.4,,0,,NS
12/1/21,63,1,1,B,B.5,3,0,,
2/16/22,60,1,1,B,B.5,21,0,63.1,
3/2/22,60,1,1,B,B.5,7,0,63,MAKING SEEDS
3/2/22,62,0,1,B,B.12,12,2,62.1,
2/16/22,61,0,1,B,B.11,22,12,62.1,
12/1/21,63,1,1,B,B.6,3,0,,
4/7/22,62,0,2,B,B.13,26,28,61.1,
2/23/22,61,0,1,B,B.11,17,7,60.7,
12/1/21,63,1,1,B,B.7,4,0,,
3/2/22,61,0,1,B,B.3,29,5,59.6,
2/23/22,60,1,1,B,B.9,30,11,59.4,
2/9/22,60,1,1,B,B.5,21,6,59,
12/1/21,63,1,1,B,B.8.,,0,,NS
2/23/22,62,0,1,B,B.12,23,2,56.6,
2/16/22,62,0,1,B,B.12,21,2,56.5,
3/2/22,60,1,1,B,B.1,29,2,56.2,
2/9/22,60,1,1,B,B.3,23,4,56.1,
3/2/22,62,0,1,B,B.1,18,1,56,
2/9/22,61,0,1,B,B.11,22,16,56,
2/23/22,61,0,1,B,B.3,31,6,55.8,
3/31/22,62,0,2,B,B.13,34,25,55.6,
2/16/22,62,0,1,B,B.1 ,23,7,55.2,
12/1/21,63,1,1,B,B.9.,3,0,,
12/1/21,63,1,1,B,B.10,3,0,,
2/23/22,62,0,1,B,B.7,12,4,55,
2/23/22,62,0,1,B,B.1 ,19,0,54.7,
2/16/22,62,0,1,B,B.7,17,2,54.4,
2/9/22,62,0,1,B,B.7,15,1,54.2,
4/7/22,61,0,2,B,B.19,21,0,54.1,
2/23/22,60,1,1,B,B.1 ,27,0,54.1,buds
2/23/22,62,0,1,B,B.3,17,5,54,
12/1/21,63,1,1,B,B.11,2,0,,
2/16/22,62,0,1,B,B.9,22,1,53.9,
3/31/22,61,0,2,B,B.17,23,0,53.1,
3/2/22,62,0,1,B,B.7,7,0,52.9,
3/2/22,62,0,1,B,B.9,18,2,52.9,
2/16/22,60,1,1,B,B.9,28,5,52.3,
2/9/22,62,0,1,B,B.12,21,3,52.3,
3/2/22,61,0,1,B,B.9,21,5,52.1,
12/1/21,63,1,1,B,B.12,3,0,,
1/26/22,60,1,1,B,B.5,21,6,50.5,
2/16/22,62,0,1,B,B.3,17,0,50.4,
3/31/22,62,0,2,B,B.23,19,17,49.9,
2/16/22,60,1,1,B,B.1 ,24,0,49.9,
2/9/22,62,0,1,B,B.9,23,3,49.7,
12/8/21,63,1,1,B,B.6,5,0,6.3,
2/23/22,61,0,1,B,B.9,21,8,48.2,
2/16/22,61,0,1,B,B.3,31,7,48,
