SampleName,Plant,CO2,Chamber,Round,N,C,Notes,Omit
750,sunflower,ambient,2,2,3.9479,49.8859,,
751,sunflower,ambient,2,2,4.1262,50.0545,,
760,sunflower,ambient,2,2,4.0159,49.2499,,
1035,buckwheat,elevated,1,2,0,46.0672,Below detection limit for N,1
1036,buckwheat,elevated,1,2,0,47.206,Below detection limit for N,1
1037,buckwheat,elevated,1,2,0,45.348,Below detection limit for N,1
1038,buckwheat,elevated,1,2,0,47.3163,Below detection limit for N,1
1039,buckwheat,elevated,1,2,0,46.6127,Below detection limit for N,1
1040,buckwheat,elevated,1,2,0,45.4386,Below detection limit for N,1
1041,buckwheat,elevated,1,2,1.4895,46.4716,,
1042,buckwheat,elevated,1,2,0,47.3945,Below detection limit for N,1
1043,buckwheat,elevated,1,2,1.4262,46.2719,,
1044,buckwheat,elevated,1,2,0,46.5152,Below detection limit for N,1
1045,buckwheat,ambient,2,2,0,46.82,Below detection limit for N,1
1046,buckwheat,ambient,2,2,0,46.0419,Below detection limit for N,1
1047,buckwheat,ambient,2,2,1.4099,46.5038,,
1048,buckwheat,ambient,2,2,1.381,47.9083,,
1049,buckwheat,ambient,2,2,0,47.2356,Below detection limit for N,1
1050,buckwheat,ambient,2,2,0,47.6614,Below detection limit for N,1
1051,buckwheat,ambient,2,2,0,46.4941,Below detection limit for N,1
1052,buckwheat,ambient,2,2,0,46.4203,Below detection limit for N,1
1053,buckwheat,ambient,2,2,0,47.7498,Below detection limit for N,1
1054,buckwheat,ambient,2,2,0,47.3541,Below detection limit for N,1
M1,tomatillo,ambient,1,1,8.043,48.312,,
M10,tomatillo,ambient,1,1,8.0475,49.2182,,
M101,poppy,elevated,2,1,6.3116,49.3114,,
M11,tomatillo,ambient,1,1,7.8974,48.5138,,
M12,tomatillo,ambient,1,1,7.7089,46.5281,,
M120,melon,ambient,1,1,4.1327,41.5378,,
M121,melon,ambient,1,1,3.8496,41.937,,
M122,melon,ambient,1,1,4.3294,42.208,,
M123,melon,elevated,2,1,3.3435,41.2217,,
M124,melon,elevated,2,1,3.2355,40.6727,,
M125,melon,elevated,2,1,4.2812,41.9926,,
M131,buckwheat,ambient,1,1,0,47.8565,Below detection limit for N,1
M132,buckwheat,ambient,1,1,0,48.5612,Below detection limit for N,1
M133,buckwheat,ambient,1,1,0,48.6311,Below detection limit for N,1
M135,buckwheat,ambient,1,1,0,47.1939,Below detection limit for N,1
M136,buckwheat,ambient,1,1,0,47.7183,Below detection limit for N,1
M137,buckwheat,ambient,1,1,1.4742,48.2044,,
M138,buckwheat,ambient,1,1,0,47.6573,Below detection limit for N,1
M139,buckwheat,ambient,1,1,0,47.2964,Below detection limit for N,1
M140,buckwheat,ambient,1,1,1.3438,47.7167,,
M141,buckwheat,elevated,2,1,0,47.1678,Below detection limit for N,1
M142,buckwheat,elevated,2,1,0,47.6533,Below detection limit for N,1
M143,buckwheat,elevated,2,1,0,47.0256,Below detection limit for N,1
M144,buckwheat,elevated,2,1,2.0886,47.4025,,
M145,buckwheat,elevated,2,1,0,49.0874,Below detection limit for N,1
M16,tomatillo,ambient,1,1,8.1483,49.0304,,
