Sample ID,Sample_weight,N,C,OMIT,NOTES,Plant_SP,ID,CO2,Round
SF2060,1.125,4.7904,53.3956,,,SF,20,1,2
SF1462,1.058,4.796,53.9241,,,SF,14,0,2
SF1362,1.11,4.715,54.5563,,,SF,13,0,2
SF2061,1.054,4.9519,53.909,,,SF,20,0,2
SF2263,1.041,4.4187,53.8898,,,SF,22,1,2
SF1361,1.087,4.5577,53.7574,,,SF,13,0,2
SF1663,1.088,4.8619,53.7158,,,SF,16,1,2
SF2360,1.213,4.4696,52.4386,,,SF,23,1,2
SF1363,1.184,4.9628,53.7346,,,SF,13,1,2
SF1763,1.189,4.4194,53.901,,,SF,17,1,2
SF2261,1.135,4.7105,53.9955,,,SF,22,0,2
SF2063,1.079,4.6554,53.8758,,,SF,20,1,2
SF1561,1.192,4.9094,51.1543,,,SF,15,0,2
SF1560,1.228,4.955,54.294,,,SF,15,1,2
SF1860,1.035,4.9431,53.5124,,,SF,18,1,2
SF2160,1.227,4.9033,53.9706,,,SF,21,1,2
SF1863,1.025,4.5839,53.5246,,,SF,18,1,2
SF2162,1.126,5.0025,53.7269,,,SF,21,0,2
SF1862,0.99,4.9813,53.7159,,,SF,18,0,2
SF2463,1.104,4.6253,54.4001,,,SF,24,1,2
SF1761,1.125,5.2017,54.3306,,,SF,17,0,2
SF260,1.092,4.9371,53.5951,,,SF,2,1,1
SF1363,1.064,5.3243,53.5695,1,,SF,13,1,2
SF2361,1.021,5.5657,54.0789,,,SF,23,0,2
SF763,1.196,4.4566,53.1038,,,SF,7,1,1
SF1961,1.033,5.1036,53.8327,,,SF,19,0,2
SF1562,1.156,4.8675,54.6883,,,SF,15,0,2
SF2161,1.153,4.8517,53.4112,,,SF,21,0,2
SF361,1.13,4.4196,51.8837,,,SF,3,0,1
SF760,1.042,4.6363,53.473,,,SF,7,1,1
SF1963,1.249,4.8226,53.4208,,,SF,19,1,2
SF960,1.039,3.9103,41.7248,,,SF,9,1,1
SF561,1.12,4.8698,54.8744,,,SF,5,0,1
SF362,1.262,4.6105,53.2317,,,SF,3,0,1
SF1661,1.269,5.0128,52.8297,,,SF,16,0,2
SF1160,1.153,5.4228,54.2455,,,SF,11,1,1
SF2463,1.023,4.4271,48.7899,1,,SF,24,1,2
SF1162,1.25,4.5381,53.1683,,,SF,11,0,1
SF161,1.19,4.836,53.3756,,,SF,1,0,1
SF2262,1.207,4.9763,53.8178,,,SF,22,0,2
SF1763,1.164,4.6161,52.4514,1,,SF,17,1,2
SF963,1.257,5.3398,53.5812,,,SF,9,1,1
SF1161,1.055,4.7692,53.3729,,,SF,11,0,1
SF2163,1.232,4.7244,52.664,,,SF,21,1,2
SF1461,1.255,5.4698,54.1434,,,SF,14,0,2
SF2062,1.125,4.8294,52.9682,,,SF,20,0,2
SF360,1.195,4.2676,53.4333,,,SF,3,1,1
SF961,1.168,5.0023,53.9628,,,SF,9,0,1
SF163,1.175,4.8114,53.1815,,,SF,1,1,1
SF762,1.229,4.8036,53.5821,,,SF,7,0,1
SF761,1.219,4.6525,53.137,,,SF,7,0,1
SF563,1.106,4.9608,53.6759,,,SF,5,1,1
SF363,1.206,4.8625,53.5313,,,SF,3,1,1
SF1262,1.085,4.6288,53.0005,,,SF,12,0,1
SF162,1.168,4.8979,52.8264,,,SF,1,0,1
SF560,1.183,5.6532,53.4646,,,SF,5,1,1
SF1163,1.244,5.0339,53.3758,,,SF,11,1,1
SF962,1.08,4.7079,52.3929,,,SF,9,0,1
SF160,1.305,5.2025,53.8654,,,SF,1,1,1
SA1763,0.1,2.2041,48.0769,1,,SA,17,1,2
SA1563,1.203,4.5658,48.0948,,,SA,15,1,2
SA160,1.252,5.187,47.6754,,,SA,1,1,1
SA161,1.038,4.6128,47.9786,,,SA,1,0,1
