sample #,species,CO2 treatment,sample type,Filename,Arginine,Caffeine,Chlorogenic acid,Cinnamic acid,Eugenol,Gallic acid,Histidine,Isoleucine + Leucine,Kaempferol,Lysine,Methionine,Nicotine,P-coumaric acid,Phenylalanine,Quercitin,Threonine,Tryptophan,Valine,Round
68,buckwheat,elevated,anther,SUB09603_SPL068,2692466,N/F,170443,26882,1283889,3293801,9067737,63505301,19611399,1157346,751871,N/F,8472475,31159626,87842615,15673074,53150891,24573381,2
69,buckwheat,elevated,anther,SUB09603_SPL069,3094406,N/F,4750367,34486,N/F,6157767,8726496,66614461,3025351,2170909,N/F,N/F,18141468,38027261,66226910,18231338,79004403,20955035,2
70,buckwheat,elevated,anther,SUB09603_SPL070,2531294,N/F,4290667,N/F,865311,N/F,18055285,78676074,11849305,1907180,1202251,N/F,17897042,152447989,28946340,26225762,132590504,14106519,2
71,buckwheat,elevated,anther,SUB09603_SPL071,2623765,N/F,N/F,N/F,199907,6218848,28497152,81438517,484869,2125765,676754,N/F,9404445,13801426,35757706,18730569,113340194,20643078,2
72,buckwheat,elevated,anther,SUB09603_SPL072,3400598,N/F,2567704,N/F,482786,793931,8878362,59570873,43542345,2469212,N/F,N/F,10391945,49029719,100804054,16705436,95509581,30054249,2
73,buckwheat,elevated,anther,SUB09603_SPL073,2417188,N/F,482025,11207,525861,3016296,5422318,107325682,12327182,258674,337805,N/F,18463387,39666371,184336158,15874719,68642406,23228289,2
74,buckwheat,elevated,anther,SUB09603_SPL074,2170103,N/F,2493576,23101,3201023,4209027,9003770,72426936,2825062,367531,194959,N/F,18436849,30507946,60921645,23768687,88664675,13653734,2
75,buckwheat,elevated,anther,SUB09603_SPL075,2715868,N/F,2111847,69172,1423265,16151757,4085903,47237014,100390366,1715233,N/F,N/F,12599085,29245612,9750235,16381878,56405673,17135283,2
76,buckwheat,elevated,anther,SUB09603_SPL076,6440671,N/F,N/F,7521,381180,1531492,7720834,70953830,32192718,1769951,78153,N/F,15153786,34520253,256681035,20919294,81617997,20223711,2
77,buckwheat,elevated,anther,SUB09603_SPL077,3227556,34771,6889203,25344,511799,14964331,6023713,68270014,37691021,1228239,N/F,N/F,35984056,29134656,178114446,19522828,54687503,27613966,2
78,buckwheat,ambient,anther,SUB09603_SPL078,2804466,145886,5309723,28312,188584,1450586,21030368,78285345,27263927,857444,N/F,N/F,4127995,59105503,111663380,19115932,116421258,33768277,2
